iter	Logloss
0	0.641101137
1	0.575399456
2	0.5217497491
3	0.4852124472
4	0.4505220509
5	0.4218581095
6	0.4065918293
7	0.38903732
8	0.3735328817
9	0.3645309292
10	0.3569748179
11	0.3482410814
12	0.3398561425
13	0.3271508983
14	0.3199763988
15	0.3110703771
16	0.3077010289
17	0.2994422586
18	0.2954047062
19	0.2917192775
20	0.2855862816
21	0.2798230355
22	0.2723870298
23	0.2697558356
24	0.2664507932
25	0.2646883194
26	0.2566588909
27	0.2544118259
28	0.2502068812
29	0.2481604245
30	0.2463998675
31	0.2429069585
32	0.2397186298
33	0.2377283594
34	0.2351607839
35	0.2337956835
36	0.2300347433
37	0.2279599429
38	0.225999891
39	0.2248781446
40	0.2229106416
41	0.2216776498
42	0.2197072184
43	0.2173449976
44	0.215864924
45	0.2146918097
46	0.212184554
47	0.2095104442
48	0.2075332437
49	0.2060914203
50	0.2042218287
51	0.2028843317
52	0.2019882891
53	0.2009472536
54	0.199410116
55	0.19706824
56	0.1964255928
57	0.194767658
58	0.1935893822
59	0.1922857664
60	0.1911315285
61	0.1903559777
62	0.1894879685
63	0.1884786033
64	0.1872631461
65	0.1856084696
66	0.1851214464
67	0.1842570055
68	0.1833361737
69	0.1824437339
70	0.1816419949
71	0.1807874984
72	0.1795695284
73	0.1778216116
74	0.1770995233
75	0.175788267
76	0.1750574922
77	0.1742356933
78	0.1733282468
79	0.1716801099
80	0.1700457523
81	0.1696923306
82	0.1689481368
83	0.1684010489
84	0.1676510325
85	0.1667470813
86	0.1659909025
87	0.1654132498
88	0.1642587524
89	0.1635552981
90	0.1629202189
91	0.1614562049
92	0.1609317019
93	0.1602021635
94	0.1596280177
95	0.1581405055
96	0.1570597521
97	0.1564382111
98	0.1556157483
99	0.1550146776
100	0.1540456171
101	0.153290014
102	0.1528685241
103	0.1522239424
104	0.1513569603
105	0.1506881064
106	0.1498915744
107	0.1492159916
108	0.1483641067
109	0.1480423814
110	0.1471400906
111	0.1463838406
112	0.1460005108
113	0.1450059465
114	0.1440608552
115	0.1435490753
116	0.1426964192
117	0.1417743286
118	0.1411315062
119	0.139917869
120	0.1392160436
121	0.1385937595
122	0.1379372119
123	0.1371707754
124	0.1368341312
125	0.136243555
126	0.1359374556
127	0.1350039494
128	0.1342553895
129	0.1336356563
130	0.1324880622
131	0.1320517912
132	0.1311320614
133	0.1297217534
134	0.1290499123
135	0.1287371319
136	0.1281420562
137	0.1273218103
138	0.1268661589
139	0.1265390791
140	0.1258308243
141	0.1252389702
142	0.1246943561
143	0.1244622728
144	0.124244947
145	0.1235830948
146	0.1227680213
147	0.1222407775
148	0.1217701998
149	0.1212525444
150	0.1206728112
151	0.1201146582
152	0.1198064107
153	0.11919263
154	0.1186741846
155	0.1182284917
156	0.1178065971
157	0.1174216052
158	0.1171136533
159	0.1166626684
160	0.1164536132
161	0.1159990774
162	0.1152964765
163	0.1148994008
164	0.1145806281
165	0.114091618
166	0.1135659757
167	0.1129170795
168	0.1122259487
169	0.1116435691
170	0.1113000131
171	0.1105574263
172	0.1101620418
173	0.1094341143
174	0.108868194
175	0.108503109
176	0.1080662968
177	0.1076400569
178	0.1072666989
179	0.1065805111
180	0.1062877384
181	0.1059582893
182	0.1054533684
183	0.1049738271
184	0.1046662293
185	0.1043157896
186	0.1038923278
187	0.1032921934
188	0.1030178285
189	0.1025222542
190	0.1019677506
191	0.1016527278
192	0.1014737658
193	0.1009828583
194	0.1006958815
195	0.1002714617
196	0.09983411125
197	0.09929713154
198	0.09895683099
199	0.09854528756
